,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,p01,"(12, 7)","(2, 7)","(7, 4)","(7, 10)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[260832, 254, 294, 298, 294, 311, 2136, 774, 348, 1869, 288, 254, 254, 275, 1300, 1187]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (6, 6), (6, 5), (6, 4), (6, 5), (6, 6), (6, 7), (6, 8), (6, 9), (6, 10), (7, 10)]","[(2, 7), (2, 8), (2, 9), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (7, 10), (7, 10), (7, 10), (7, 10), (7, 10), (7, 10), (7, 10), (7, 10)]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0]","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,p01,"(7, 14)","(7, 0)","(4, 7)","(10, 7)","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0)]","[3946, 258, 252, 353, 260, 267, 495, 1902, 521, 555]","[(1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (7, 12), (7, 11), (7, 10), (7, 9), (7, 8), (7, 7), (8, 7), (9, 7), (10, 7)]","[(7, 0), (8, 0), (9, 0), (9, 1), (10, 1), (10, 2), (10, 3), (10, 4), (10, 5), (10, 6), (10, 7)]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2]","[2, 2, 0, 2, 0, 0, 0, 0, 0, 0]"
2,p01,"(7, 13)","(7, 1)","(5, 7)","(9, 7)","[(1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]","[3858, 417, 1709, 443, 671, 1522, 420, 432, 665, 365, 613, 908]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 13), (8, 13), (9, 13), (8, 13), (7, 13), (6, 13), (6, 12), (6, 11), (6, 10), (6, 9), (6, 8), (6, 7), (5, 7)]","[(7, 1), (8, 1), (8, 2), (8, 3), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (9, 7), (9, 7), (9, 7), (9, 7)]","[2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
3,p01,"(7, 0)","(7, 14)","(5, 7)","(9, 7)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, -1), (0, 1), (1, 0)]","[3289, 236, 247, 270, 262, 477, 538, 1823, 2449, 746, 1307]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0)]","[(7, 0), (7, 1), (7, 2), (7, 3), (7, 4), (7, 5), (7, 6), (7, 7), (8, 7), (8, 6), (8, 7), (9, 7)]","[(7, 14), (7, 13), (8, 13), (9, 13), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7), (9, 7), (9, 7)]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2]","[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
4,p01,"(12, 7)","(0, 7)","(6, 3)","(6, 11)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0)]","[4108, 482, 581, 526, 1032, 1881, 448, 444, 413, 1534, 1864, 796]","[(-1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 0)]","[(12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (8, 11), (7, 11), (6, 11)]","[(0, 7), (0, 7), (0, 8), (0, 9), (0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (6, 11), (6, 11)]","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0]"
5,p01,"(7, 3)","(7, 13)","(5, 8)","(9, 8)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[5344, 492, 276, 238, 282, 438, 662, 2524, 327, 294, 1278, 331, 298, 277, 1905, 2035, 247, 255, 291, 1906]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 3), (6, 3), (5, 3), (4, 3), (3, 3), (2, 3), (1, 3), (0, 3), (0, 3), (0, 3), (0, 3), (1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]","[(7, 13), (7, 12), (8, 12), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8), (9, 8)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,p01,"(2, 7)","(14, 7)","(8, 4)","(8, 10)","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]","[3014, 612, 465, 401, 533, 534, 2817, 587, 555]","[(-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(2, 7), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6), (8, 5), (8, 4)]","[(14, 7), (13, 7), (13, 6), (13, 5), (12, 5), (12, 4), (11, 4), (10, 4), (9, 4), (8, 4)]","[0, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 1, 0, 0, 0, 0]"
7,p01,"(11, 7)","(1, 7)","(6, 3)","(6, 11)","[(1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]","[3231, 464, 374, 440, 1457, 436, 371, 492, 1099, 1584, 351, 406, 268, 255, 245, 243, 295, 1308, 399, 335]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(11, 7), (12, 7), (13, 7), (14, 7), (14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (9, 6), (9, 5), (9, 6), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (8, 11), (7, 11), (6, 11)]","[(1, 7), (2, 7), (3, 7), (4, 7), (4, 6), (4, 5), (4, 4), (5, 4), (6, 4), (6, 3), (6, 3), (6, 3), (6, 3), (6, 3), (6, 3), (6, 3), (6, 3), (6, 3), (6, 3), (6, 3), (6, 3)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,p01,"(14, 7)","(0, 7)","(7, 3)","(7, 11)","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[3362, 479, 437, 453, 402, 473, 1294, 473, 441, 2166, 1529, 271, 257, 208, 229, 537, 388]","[(0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(14, 7), (14, 8), (14, 9), (14, 10), (14, 11), (14, 12), (14, 13), (14, 12), (14, 11), (14, 10), (14, 11), (13, 11), (12, 11), (11, 11), (10, 11), (9, 11), (8, 11), (7, 11)]","[(0, 7), (0, 6), (0, 5), (1, 5), (1, 4), (2, 4), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3), (7, 3)]","[2, 2, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,p01,"(7, 0)","(7, 12)","(5, 6)","(9, 6)","[(1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]","[4264, 496, 506, 1455, 2081, 459, 544, 1143, 578, 1383, 226, 248, 693, 214, 276, 249, 573, 324, 1377, 244, 243, 664]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(7, 0), (8, 0), (9, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (5, 0), (4, 0), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]","[(7, 12), (7, 11), (6, 11), (6, 10), (6, 9), (6, 8), (5, 8), (5, 7), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6), (5, 6)]","[2, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
